geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0010001110000111100000001111000000100000000;0.707928;9322;0110101000011000000000010000111001001100000;0.0256683;338;0.175289;1
1;0000001010000111110000001111000000010000100;0.663882;8742;0010000000111100000100100010001001000100101;0.0300729;396;0.21362;1
2;0001001111010010100000001111000000100000000;0.657503;8658;1101010000010000100100000010111000100010000;0.0594623;783;0.25594;1
3;0000001110110000000110000101011000100100000;0.632442;8328;0011000001001100000001100000010000101101010;0.0606774;799;0.275712;1
4;0000001110110110100110000100010000100000000;0.707852;9321;0000001100010101001001001010000001100001001;0.0782959;1031;0.304244;1
5;0001001110000001001010100111010100000000000;0.697904;9190;0010010000101100000000100110010011000100010;0.0486786;641;0.334518;1
6;0001001110000001001010100111000100001000000;0.692132;9114;1010000001101000001010101000000100000100011;0.107002;1409;0.369242;1
7;0000111010100100100010100100010000110000000;0.68545;9026;1011100010000100000000010100111010000010000;0.0927248;1221;0.388692;1
8;0000010010100001101000011101000100110000000;0.679374;8946;0101010100000001010000010000110100100000011;0.0609052;802;0.383635;1
9;0000101010100101000010100111000100000000100;0.691829;9110;0000001001011100011000010011000111000000000;0.101382;1335;0.394673;1
10;0000000011100011101000001111000100010000000;0.721218;9497;1001001101010100101000000001000000110000010;0.0688032;906;0.414827;1
11;0000101010100101000010000111000100110000000;0.710738;9359;0001010101100100100000001000100000110001100;0.070322;926;0.429766;1
12;0000011110000010100010001100110000110000000;0.76815;10115;0000101001010001001001000010010100010001010;0.116874;1539;0.435947;1
13;0000001110110010100100000111000000110000000;0.705574;9291;1110010000100101000100001001000100001001000;0.0641707;845;0.431934;2
14;0001001110000010100011000101000100100001000;0.690917;9098;1000101101000100000100100010000110010000010;0.129708;1708;0.449691;1
15;0000011010100011100000001110010010010000000;0.740963;9757;0001001100001001000100000011001001010100001;0.0451853;595;0.445788;1
16;0000011010100010100000001111010010010000000;0.721978;9507;0011011100010001000000101011000000010000010;0.0831561;1095;0.441775;1
17;0000011110100011000001010100010000110000000;0.698891;9203;1001011000100000010010001001000100100011000;0.1411;1858;0.442152;1
18;0000011011100011010000000100110000110000000;0.736558;9699;0010010100100000000001111000000100110100010;0.0814854;1073;0.472792;1
=============================================
geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;1000000110000010101000000110001110110000000;0.499468;6577;1011000001010000000000010000110101101000001;0.0230103;303;0.172563;1
1;0010000110000000101000000111001110110000000;0.533035;7019;0110010101001001000001000010010011000001000;0.0237697;313;0.218284;1
2;0000001111010011000000000100010000110100100;0.611558;8053;1110001001100000000101000010001000100010001;0.0387303;510;0.240159;1
3;0100001010100101011010000100000000110010000;0.592345;7800;0101000000010100010001000001001100001110001;0.0577916;761;0.259623;1
4;0000001110100011010100010001000100110000000;0.679298;8945;0101001000100000100100000011000110000101100;0.0796628;1049;0.285439;1
5;0011001110100000000000000111001001010100000;0.521947;6873;1110000100000000010010000110100010010010001;0.0925729;1219;0.297022;1
6;0000011010100001010001001011000100010000010;0.621203;8180;0100100100101101000000001010000110010000010;0.0554374;730;0.31003;1
7;0000101010100001010000000111001001010010000;0.653402;8604;0101101000110000001001000010010010100000100;0.0460207;606;0.315982;1
8;0000101010100001010000000111001001010000100;0.643682;8476;0001001100000001010001001011001000010000011;0.0960662;1265;0.33515;1
9;0010001110100010011010010100000000100000001;0.685601;9028;0000010001000001100000000110001101010110001;0.0873329;1150;0.339014;1
10;0001011111100010011000000100000100000001000;0.68469;9016;0000100100101100100001000000010101100100100;0.0332625;438;0.352902;1
11;0000011010100010011100000101000100100001000;0.728357;9591;1110001000100000001000010010111001000001000;0.0505012;665;0.353837;1
12;0100001111100010001010001100000100000100000;0.676261;8905;1101001100100000001010000010001010000000101;0.0536908;707;0.363607;1
13;0000011110100010000110001100000100100000100;0.721294;9498;0001100101000100100001000100001100100001100;0.0449575;592;0.384389;1
14;0000001010100010001010001100010100010011000;0.709827;9347;0111000001100000001010001000001101010001000;0.100926;1329;0.400413;1
15;0000001110100011010001000101000001110000000;0.693803;9136;1100100110010000001001000010000001000110100;0.0946233;1246;0.400855;1
16;0000101011100011000010000101000100010100000;0.705422;9289;0100010101111000000100010001000100000100001;0.0670565;883;0.417439;1
17;0000101110100011010100000101000100010000000;0.754708;9938;0011110101000000000001000100000110010100010;0.0912819;1202;0.417317;1
18;0000101010110011000000001101000100110000000;0.768378;10118;0011110000000110000001110101000110000000000;0.178159;2346;0.434471;1
=============================================
geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000011110100000010010010010100100000001100;0.521264;6864;1101001100011000000000010010000101000001001;0.0258961;341;0.166758;1
1;0000010110110000010010010001000100110100000;0.51048;6722;0000010101010000000001000000111110000011001;0.0258202;340;0.197067;1
2;0000011110001010100101000001000100110000000;0.586725;7726;0001000101001000110000100000000011100010011;0.0440462;580;0.223894;1
3;0011001110000010001000010111000100000000010;0.649453;8552;1100001100100000101000000100001010001101000;0.0722965;952;0.266645;1
4;0011001110000010001000000111100100000100000;0.646947;8519;1001000100000100110000100000011100010110000;0.0527795;695;0.302408;1
5;0001001010000010011000001111000100010001000;0.688335;9064;0110001000000100010001100110000000100101001;0.09113;1200;0.32596;1
6;0000011110101010100011000101000000010000000;0.717193;9444;0100100000011000110000101010010100000001100;0.113077;1489;0.334115;1
7;0100001111000001100010001111000000010000000;0.706789;9307;0100000000111100110000010001001100000101000;0.0609052;802;0.337938;1
8;0000101110110111000100000100010000100000000;0.689854;9084;0010100100000000100100101000110101000100010;0.0844471;1112;0.34809;1
9;0000011111100001101000001100000100000001000;0.703827;9268;0000001001101100100000101000000100100010011;0.0519441;684;0.352833;1
10;0010011110100010000111000100000000010001000;0.696081;9166;0100110100100000001001010000011100000000110;0.0719168;947;0.377802;1
11;0000011111100011000000000101010010100000000;0.714383;9407;0001001000001010000001010100000111010110000;0.110039;1449;0.394125;1
12;0010101111100000100010001101000000010000000;0.684994;9020;0011011011111100000000001000000010010000000;0.149225;1965;0.411053;1
13;0000111110000000001010001101000100010001000;0.698436;9197;0010110000110000000000111001100100001000100;0.0622722;820;0.408076;1
14;0000001010100010101110000110010000100000100;0.723117;9522;1100000101110001000000001110000010100001000;0.0744228;980;0.414503;1
15;0000001010000010101010000110010100110001000;0.718484;9461;1011000000100000000000001110000011110101000;0.10723;1412;0.416894;1
16;0001001010100011000000001110010100010000100;0.717649;9450;0001000100100001110000000100001101101001000;0.0896871;1181;0.42249;1
17;0000001110000010010010001101000001110000001;0.71408;9403;0000011100010010000000100001000001010100111;0.131531;1732;0.43122;1
18;0000011010100011110000000110010001010000000;0.723041;9521;1001010100100001001000001010001110010000000;0.0946993;1247;0.437725;1
=============================================
